date,property_type,asking_price,transaction_price,Rents - Industrial and commercial space ,Rents - Office space ,Rents - Rental housing units ,Rents - Retail space ,Acquisition of Swiss citizenship,Natural Change,Net migration,Switzerland - CHF - Call money rate (Tomorrow next) - 1 day,Origination - Relevant foreign currency positions,Origination - Securities portfolio,Origination - Money market transactions,Origination - Other,Origination - Monetary base,Utilisation - Banknotes in circulation,Utilisation - Sight deposit accounts of domestic banks,Utilisation - Monetary base,Seasonally adjusted - Monetary base,Level - Currency in circulation,Level - Deposits in transaction accounts,Level - Monetary aggregate M3,Banks in Switzerland - Total domestic and foreign - Total loans - Utilisation,Banks in Switzerland - Total domestic and foreign - Mortgage loans - Utilisation,"Value, in CHF millions - Gross domestic product",population,SFSO - Inflation according to the national consumer price index
1985-01-01,Privately owned apartments,83.91257986236178,86.54476054772083,79.01786916192763,83.20665218222406,84.1045599283804,105.38863888724008,14393.0,15101.0,13837.0,0.72396,48431.16667,1831.75,1043.33333,19590.16667,31716.08333,23625.91667,8090.16667,31716.08333,31688.58333,22120.58333,28907.66667,258263.25,326452.29433,184690.81353,,6470365.0,3.43333
1985-01-01,Single-family houses,87.82903142722017,78.78349326270752,79.01786916192763,83.20665218222406,84.1045599283804,105.38863888724008,14393.0,15101.0,13837.0,0.72396,48431.16667,1831.75,1043.33333,19590.16667,31716.08333,23625.91667,8090.16667,31716.08333,31688.58333,22120.58333,28907.66667,258263.25,326452.29433,184690.81353,,6470365.0,3.43333
1986-01-01,Privately owned apartments,88.45578138362613,89.83859236272689,78.99182117774996,95.45679553856252,86.14829104646995,107.49890792385462,14416.0,16215.0,22364.0,1.08333,47527.5,1983.91667,961.5,18224.66667,32248.25,23951.41667,8296.83333,32248.25,32270.08333,22393.5,32005.0,275248.08333,346022.90337,198934.41002,,6504124.0,0.75
1986-01-01,Single-family houses,93.09401186699965,80.46745047106553,78.99182117774996,95.45679553856252,86.14829104646995,107.49890792385462,14416.0,16215.0,22364.0,1.08333,47527.5,1983.91667,961.5,18224.66667,32248.25,23951.41667,8296.83333,32248.25,32270.08333,22393.5,32005.0,275248.08333,346022.90337,198934.41002,,6504124.0,0.75
1987-01-01,Privately owned apartments,96.10660342522728,92.9139252758251,93.11317619830993,98.9773342171259,91.855077123112,125.20274563576146,12370.0,16994.0,26392.0,1.64062,45955.33333,2118.58333,958.66667,15600.5,33432.08333,24784.83333,8647.25,33432.08333,33403.0,22991.16667,36555.08333,300854.75,375319.79601,220442.46006,,6545106.0,1.45833
1987-01-01,Single-family houses,99.36901453189067,83.24760174684938,93.11317619830993,98.9773342171259,91.855077123112,125.20274563576146,12370.0,16994.0,26392.0,1.64062,45955.33333,2118.58333,958.66667,15600.5,33432.08333,24784.83333,8647.25,33432.08333,33403.0,22991.16667,36555.08333,300854.75,375319.79601,220442.46006,,6545106.0,1.45833
1988-01-01,Privately owned apartments,106.53214174259338,100.46040642223606,99.29921804787267,108.20556852452428,102.30838358623846,133.70832533680843,11356.0,19697.0,33477.0,2.57292,43325.33333,2317.66667,135.41667,14292.58333,31485.83333,25818.91667,5666.91667,31485.83333,31520.91667,24141.08333,41077.25,329694.66667,417393.34659,247768.97916,,6593386.0,1.88333
1988-01-01,Single-family houses,114.24955392081826,87.39532608173495,99.29921804787267,108.20556852452428,102.30838358623846,133.70832533680843,11356.0,19697.0,33477.0,2.57292,43325.33333,2317.66667,135.41667,14292.58333,31485.83333,25818.91667,5666.91667,31485.83333,31520.91667,24141.08333,41077.25,329694.66667,417393.34659,247768.97916,,6593386.0,1.88333
1989-01-01,Privately owned apartments,117.15313963850049,108.07143549151704,104.78555641975701,117.45447262234782,116.30808853723289,141.6013466639265,10342.0,20298.0,33579.0,6.82812,44510.08333,2503.0,781.66667,17869.66667,29925.08333,26437.83333,3487.25,29925.08333,29910.08333,24686.16667,40503.25,349184.08333,476823.79185,282922.38214,,6646912.0,3.15
1989-01-01,Single-family houses,128.8240780651759,96.11880157258838,104.78555641975701,117.45447262234782,116.30808853723289,141.6013466639265,10342.0,20298.0,33579.0,6.82812,44510.08333,2503.0,781.66667,17869.66667,29925.08333,26437.83333,3487.25,29925.08333,29910.08333,24686.16667,40503.25,349184.08333,476823.79185,282922.38214,,6646912.0,3.15
1990-01-01,Privately owned apartments,122.83717157788755,111.50895247303212,117.0467784749264,134.68370116289924,137.73712860820606,163.074885855949,8658.0,20200.0,56643.0,8.23958,47016.41667,2709.58333,775.75,21603.41667,28898.33333,25880.25,3018.08333,28898.33333,28933.66667,24211.33333,37795.5,356082.75,526293.82778,314683.63876,369392.22121,6715519.0,5.41667
1990-01-01,Single-family houses,128.46662031962106,101.97757411195596,117.0467784749264,134.68370116289924,137.73712860820606,163.074885855949,8658.0,20200.0,56643.0,8.23958,47016.41667,2709.58333,775.75,21603.41667,28898.33333,25880.25,3018.08333,28898.33333,28933.66667,24211.33333,37795.5,356082.75,526293.82778,314683.63876,369392.22121,6715519.0,5.41667
1991-01-01,Privately owned apartments,121.84542909791378,113.04117009808247,127.25482508209835,136.1126778897326,155.3151217028947,142.79582820722746,8757.0,23566.0,61440.0,7.70833,45776.0,2829.08333,605.66667,19937.16667,29273.58333,26441.5,2832.08333,29273.58333,29247.16667,24852.0,39057.16667,365565.33333,561927.8289,334824.86181,385747.93824,6799978.0,5.875
1991-01-01,Single-family houses,126.3454365806113,103.9867450382451,127.25482508209835,136.1126778897326,155.3151217028947,142.79582820722746,8757.0,23566.0,61440.0,7.70833,45776.0,2829.08333,605.66667,19937.16667,29273.58333,26441.5,2832.08333,29273.58333,29247.16667,24852.0,39057.16667,365565.33333,561927.8289,334824.86181,385747.93824,6799978.0,5.875
1992-01-01,Privately owned apartments,116.64363968792016,113.57734244640547,121.06812457342629,123.56631100281234,157.06972104657518,141.85566305992398,11208.0,24608.0,40156.0,7.69792,50008.58333,2914.75,689.75,24593.33333,29019.75,26466.75,2553.0,29019.75,29056.08333,24938.75,41385.25,373230.16667,582180.04327,350638.96122,393408.66854,6875364.0,4.05833
1992-01-01,Single-family houses,120.78477163249595,102.93881601734874,121.06812457342629,123.56631100281234,157.06972104657518,141.85566305992398,11208.0,24608.0,40156.0,7.69792,50008.58333,2914.75,689.75,24593.33333,29019.75,26466.75,2553.0,29019.75,29056.08333,24938.75,41385.25,373230.16667,582180.04327,350638.96122,393408.66854,6875364.0,4.05833
1993-01-01,Privately owned apartments,111.8897697069962,112.63156784773481,115.32444389436552,114.96135023275889,142.9875679064724,122.41734172327784,12928.0,21250.0,39512.0,4.97917,56613.41667,2986.5,1176.5,31251.33333,29525.08333,26871.41667,2653.66667,29525.08333,29498.33333,25348.0,46615.58333,387923.25,595409.07569,362704.87351,401920.59908,6938265.0,3.29167
1993-01-01,Single-family houses,114.53812637446335,101.4642865087006,115.32444389436552,114.96135023275889,142.9875679064724,122.41734172327784,12928.0,21250.0,39512.0,4.97917,56613.41667,2986.5,1176.5,31251.33333,29525.08333,26871.41667,2653.66667,29525.08333,29498.33333,25348.0,46615.58333,387923.25,595409.07569,362704.87351,401920.59908,6938265.0,3.29167
1994-01-01,Privately owned apartments,111.52506561540223,111.75270355610023,113.6698565936612,107.47909021095066,130.41559776445158,113.6425551742079,13757.0,20993.0,30883.0,3.90625,57883.25,3062.83333,1481.25,32376.83333,30050.5,27369.33333,2681.16667,30050.5,30069.91667,25789.16667,48983.33333,407706.08333,608783.42321,376615.64498,412011.52121,6993795.0,0.85
1994-01-01,Single-family houses,114.44994831681802,101.10786924224676,113.6698565936612,107.47909021095066,130.41559776445158,113.6425551742079,13757.0,20993.0,30883.0,3.90625,57883.25,3062.83333,1481.25,32376.83333,30050.5,27369.33333,2681.16667,30050.5,30069.91667,25789.16667,48983.33333,407706.08333,608783.42321,376615.64498,412011.52121,6993795.0,0.85
1995-01-01,Privately owned apartments,108.31094935539774,109.565881771874,116.27119164373075,103.7570537045917,122.9187730030811,115.81345629397133,16795.0,18816.0,14458.0,2.75521,54312.5,3064.5,1712.75,28943.16667,30146.58333,27572.58333,2574.0,30146.58333,30128.83333,26021.16667,54141.0,416682.66667,614465.47164,392614.38715,417529.12955,7040687.0,1.8
