date,property_type,asking_price,transaction_price,Rents - Industrial and commercial space ,Rents - Office space ,Rents - Rental housing units ,Rents - Retail space ,Acquisition of Swiss citizenship,Deaths,Emigration,Immigration,Live births,Natural Change,Net migration,Statistical adjustments,Switzerland - CHF - SARON - 1 day,Switzerland - CHF - Call money rate (Tomorrow next) - 1 day,Switzerland - CHF - Money market debt register claims of the Swiss Confederation - 3-month,Switzerland - CHF - CHF LIBOR - 3-month,United States - USD - SOFR - 1-day,United States - USD - USD LIBOR - 3-month,Japan - JPY - TONA - 1-day,Japan - JPY - JPY LIBOR - 3-month,United Kingdom - GBP - SONIA - 1-day,United Kingdom - GBP - GBP LIBOR - 3-month,Euro area - EUR - ESTR - 1-day,Euro area - EUR - EURIBOR - 3-month,Euro area - EUR - EUR LIBOR - 3-month,Origination - Relevant foreign currency positions,Origination - Securities portfolio,Origination - Money market transactions,Origination - Other,Origination - Monetary base,Utilisation - Banknotes in circulation,Utilisation - Sight deposit accounts of domestic banks,Utilisation - Monetary base,Seasonally adjusted - Monetary base,Seasonally adjusted - Seasonal factor,Change from the corresponding month of the previous year - Currency in circulation,Change from the corresponding month of the previous year - Deposits in transaction accounts,Change from the corresponding month of the previous year - Monetary aggregate M1,Change from the corresponding month of the previous year - Monetary aggregate M2,Change from the corresponding month of the previous year - Monetary aggregate M3,Change from the corresponding month of the previous year - Savings deposits,Change from the corresponding month of the previous year - Sight deposits,Change from the corresponding month of the previous year - Time deposits,Level - Currency in circulation,Level - Deposits in transaction accounts,Level - Monetary aggregate M1,Level - Monetary aggregate M2,Level - Monetary aggregate M3,Level - Savings deposits,Level - Sight deposits,Level - Time deposits,Banks in Switzerland - Total domestic and foreign - Total loans - Utilisation,Banks in Switzerland - Total domestic and foreign - Total loans - Credit lines,Banks in Switzerland - Total domestic and foreign - Mortgage loans - Utilisation,Banks in Switzerland - Total domestic and foreign - Other loans - Total - Utilisation,Banks in Switzerland - Total domestic and foreign - Other loans - secured - Utilisation,Banks in Switzerland - Total domestic and foreign - Other loans - unsecured - Utilisation,Banks in Switzerland - Domestic - Total loans - Utilisation,Banks in Switzerland - Domestic - Total loans - Credit lines,Banks in Switzerland - Domestic - Mortgage loans - Utilisation,Banks in Switzerland - Domestic - Other loans - Total - Utilisation,Banks in Switzerland - Domestic - Other loans - secured - Utilisation,Banks in Switzerland - Domestic - Other loans - unsecured - Utilisation,Banks in Switzerland - Foreign - Total loans - Utilisation,Banks in Switzerland - Foreign - Total loans - Credit lines,Banks in Switzerland - Foreign - Mortgage loans - Utilisation,Banks in Switzerland - Foreign - Other loans - Total - Utilisation,Banks in Switzerland - Foreign - Other loans - secured - Utilisation,Banks in Switzerland - Foreign - Other loans - unsecured - Utilisation,"Value, in CHF millions - Gross domestic product",population,SFSO - Inflation according to the national consumer price index
1985-01-01,Privately owned apartments,83.91257986236178,86.54476054772083,79.01786916192763,83.20665218222406,84.1045599283804,105.38863888724008,14393.0,59583.0,85029.0,98866.0,74684.0,15101.0,13837.0,,,0.72396,,,,,,,,,,,,48431.16667,1831.75,1043.33333,19590.16667,31716.08333,23625.91667,8090.16667,31716.08333,31688.58333,1.00092,-1.97482,11.89605,4.78456,3.76734,5.89221,2.88879,4.02362,15.18899,22120.58333,28907.66667,92117.66667,202292.16667,258263.25,110174.5,41089.41667,55971.08333,326452.29433,436541.06157,184690.81353,142417.24809,,,275072.21877,358284.62363,183761.06253,91263.42524,,,52723.38943,79305.42455,927.22044,52499.74656,,,,6470365.0,3.43333
1985-01-01,Single-family houses,87.82903142722017,78.78349326270752,79.01786916192763,83.20665218222406,84.1045599283804,105.38863888724008,14393.0,59583.0,85029.0,98866.0,74684.0,15101.0,13837.0,,,0.72396,,,,,,,,,,,,48431.16667,1831.75,1043.33333,19590.16667,31716.08333,23625.91667,8090.16667,31716.08333,31688.58333,1.00092,-1.97482,11.89605,4.78456,3.76734,5.89221,2.88879,4.02362,15.18899,22120.58333,28907.66667,92117.66667,202292.16667,258263.25,110174.5,41089.41667,55971.08333,326452.29433,436541.06157,184690.81353,142417.24809,,,275072.21877,358284.62363,183761.06253,91263.42524,,,52723.38943,79305.42455,927.22044,52499.74656,,,,6470365.0,3.43333
1986-01-01,Privately owned apartments,88.45578138362613,89.83859236272689,78.99182117774996,95.45679553856252,86.14829104646995,107.49890792385462,14416.0,60105.0,84858.0,107222.0,76320.0,16215.0,22364.0,,,1.08333,,,,,,,,,,,,47527.5,1983.91667,961.5,18224.66667,32248.25,23951.41667,8296.83333,32248.25,32270.08333,0.99925,1.22039,10.71462,6.78282,6.49869,6.56908,6.26934,7.04556,6.89783,22393.5,32005.0,98359.0,215434.41667,275248.08333,117075.41667,43960.5,59813.66667,346022.90337,464871.66255,198934.41002,147704.5227,,,296800.75291,388304.47895,197990.15722,98752.80468,,,50123.56812,77178.97055,941.50346,49726.94652,,,,6504124.0,0.75
1986-01-01,Single-family houses,93.09401186699965,80.46745047106553,78.99182117774996,95.45679553856252,86.14829104646995,107.49890792385462,14416.0,60105.0,84858.0,107222.0,76320.0,16215.0,22364.0,,,1.08333,,,,,,,,,,,,47527.5,1983.91667,961.5,18224.66667,32248.25,23951.41667,8296.83333,32248.25,32270.08333,0.99925,1.22039,10.71462,6.78282,6.49869,6.56908,6.26934,7.04556,6.89783,22393.5,32005.0,98359.0,215434.41667,275248.08333,117075.41667,43960.5,59813.66667,346022.90337,464871.66255,198934.41002,147704.5227,,,296800.75291,388304.47895,197990.15722,98752.80468,,,50123.56812,77178.97055,941.50346,49726.94652,,,,6504124.0,0.75
1987-01-01,Privately owned apartments,96.10660342522728,92.9139252758251,93.11317619830993,98.9773342171259,91.855077123112,125.20274563576146,12370.0,59511.0,86329.0,112721.0,76505.0,16994.0,26392.0,,,1.64062,,,,7.22396,,,,9.61979,,,,45955.33333,2118.58333,958.66667,15600.5,33432.08333,24784.83333,8647.25,33432.08333,33403.0,1.00067,2.68659,14.16789,9.6657,8.46401,9.28115,7.44669,9.95239,12.31777,22991.16667,36555.08333,107906.25,233703.58333,300854.75,125797.33333,48360.0,67151.16667,375319.79601,513436.11961,220442.46006,155436.05964,,,326520.834,433262.62054,219410.19671,107046.35276,,,49318.68854,80521.09341,1029.0526,48742.37832,,,,6545106.0,1.45833
1987-01-01,Single-family houses,99.36901453189067,83.24760174684938,93.11317619830993,98.9773342171259,91.855077123112,125.20274563576146,12370.0,59511.0,86329.0,112721.0,76505.0,16994.0,26392.0,,,1.64062,,,,7.22396,,,,9.61979,,,,45955.33333,2118.58333,958.66667,15600.5,33432.08333,24784.83333,8647.25,33432.08333,33403.0,1.00067,2.68659,14.16789,9.6657,8.46401,9.28115,7.44669,9.95239,12.31777,22991.16667,36555.08333,107906.25,233703.58333,300854.75,125797.33333,48360.0,67151.16667,375319.79601,513436.11961,220442.46006,155436.05964,,,326520.834,433262.62054,219410.19671,107046.35276,,,49318.68854,80521.09341,1029.0526,48742.37832,,,,6545106.0,1.45833
1988-01-01,Privately owned apartments,106.53214174259338,100.46040642223606,99.29921804787267,108.20556852452428,102.30838358623846,133.70832533680843,11356.0,60648.0,91507.0,124984.0,80345.0,19697.0,33477.0,,,2.57292,,,,8.04427,,,,10.5625,,,,43325.33333,2317.66667,135.41667,14292.58333,31485.83333,25818.91667,5666.91667,31485.83333,31520.91667,0.999,4.9914,12.48543,13.74221,12.20849,9.64179,10.92412,18.94802,0.74763,24141.08333,41077.25,122557.66667,262078.25,329694.66667,139520.58333,57339.33333,67616.41667,417393.34659,577566.33419,247768.97916,170188.10179,,,363673.2825,489178.76666,246452.00542,117155.02868,,,54243.56883,88644.65228,1314.1126,53295.10441,,,,6593386.0,1.88333
1988-01-01,Single-family houses,114.24955392081826,87.39532608173495,99.29921804787267,108.20556852452428,102.30838358623846,133.70832533680843,11356.0,60648.0,91507.0,124984.0,80345.0,19697.0,33477.0,,,2.57292,,,,8.04427,,,,10.5625,,,,43325.33333,2317.66667,135.41667,14292.58333,31485.83333,25818.91667,5666.91667,31485.83333,31520.91667,0.999,4.9914,12.48543,13.74221,12.20849,9.64179,10.92412,18.94802,0.74763,24141.08333,41077.25,122557.66667,262078.25,329694.66667,139520.58333,57339.33333,67616.41667,417393.34659,577566.33419,247768.97916,170188.10179,,,363673.2825,489178.76666,246452.00542,117155.02868,,,54243.56883,88644.65228,1314.1126,53295.10441,,,,6593386.0,1.88333
1989-01-01,Privately owned apartments,117.15313963850049,108.07143549151704,104.78555641975701,117.45447262234782,116.30808853723289,141.6013466639265,10342.0,60882.0,96619.0,130198.0,81180.0,20298.0,33579.0,,,6.82812,,7.31771,,9.26042,,5.52604,,14.13672,,,9.70312,44510.08333,2503.0,781.66667,17869.66667,29925.08333,26437.83333,3487.25,29925.08333,29910.08333,1.0005,2.29459,-1.32587,-4.08149,-5.64877,5.91507,-7.01801,-8.66858,50.53977,24686.16667,40503.25,117535.0,247179.91667,349184.08333,129644.91667,52345.58333,102004.16667,476823.79185,652310.98007,282922.38214,194555.65786,,,416674.78922,557663.39592,281108.58894,135461.13108,,,60624.86148,94551.16487,1811.91701,59110.59352,,,,6646912.0,3.15
1989-01-01,Single-family houses,128.8240780651759,96.11880157258838,104.78555641975701,117.45447262234782,116.30808853723289,141.6013466639265,10342.0,60882.0,96619.0,130198.0,81180.0,20298.0,33579.0,,,6.82812,,7.31771,,9.26042,,5.52604,,14.13672,,,9.70312,44510.08333,2503.0,781.66667,17869.66667,29925.08333,26437.83333,3487.25,29925.08333,29910.08333,1.0005,2.29459,-1.32587,-4.08149,-5.64877,5.91507,-7.01801,-8.66858,50.53977,24686.16667,40503.25,117535.0,247179.91667,349184.08333,129644.91667,52345.58333,102004.16667,476823.79185,652310.98007,282922.38214,194555.65786,,,416674.78922,557663.39592,281108.58894,135461.13108,,,60624.86148,94551.16487,1811.91701,59110.59352,,,,6646912.0,3.15
