,date,target_appartments_asking_price,target_appartments_transaction_price,target_houses_asking_price,target_houses_transaction_price,M3_supply_lag1,M3_supply_lag2,M3_supply_lag3,acquisition_ch_citizenship_lag1,acquisition_ch_citizenship_lag2,acquisition_ch_citizenship_lag3,average_call_money_rate_lag1,average_call_money_rate_lag2,average_call_money_rate_lag3,banknotes_in_circulation_lag1,banknotes_in_circulation_lag2,banknotes_in_circulation_lag3,ch_net_migration_lag1,ch_net_migration_lag2,ch_net_migration_lag3,currency_in_circulation_lag1,currency_in_circulation_lag2,currency_in_circulation_lag3,deposits_in_transaction_accounts_lag1,deposits_in_transaction_accounts_lag2,deposits_in_transaction_accounts_lag3,gpd_lag1,gpd_lag2,gpd_lag3,inflation_lag1,inflation_lag2,inflation_lag3,money_origin_foreign_currency_position_lag1,money_origin_foreign_currency_position_lag2,money_origin_foreign_currency_position_lag3,money_origin_monetary_base_lag1,money_origin_monetary_base_lag2,money_origin_monetary_base_lag3,money_origin_money_market_transactions_lag1,money_origin_money_market_transactions_lag2,money_origin_money_market_transactions_lag3,money_origin_other_lag1,money_origin_other_lag2,money_origin_other_lag3,money_origin_securities_portfolio_lag1,money_origin_securities_portfolio_lag2,money_origin_securities_portfolio_lag3,pop_natural_change_lag1,pop_natural_change_lag2,pop_natural_change_lag3,population_lag1,population_lag2,population_lag3,rents_houses_lag1,rents_houses_lag2,rents_houses_lag3,rents_industrial_commercial_lag1,rents_industrial_commercial_lag2,rents_industrial_commercial_lag3,rents_office_lag1,rents_office_lag2,rents_office_lag3,rents_retail_lag1,rents_retail_lag2,rents_retail_lag3,sight_deposits_banks_lag1,sight_deposits_banks_lag2,sight_deposits_banks_lag3,swiss_banks_mortgage_loans_lag1,swiss_banks_mortgage_loans_lag2,swiss_banks_mortgage_loans_lag3,swiss_banks_total_loans_lag1,swiss_banks_total_loans_lag2,swiss_banks_total_loans_lag3,target_appartments_asking_price_lag1,target_appartments_asking_price_lag2,target_appartments_asking_price_lag3,target_appartments_transaction_price_lag1,target_appartments_transaction_price_lag2,target_appartments_transaction_price_lag3,target_houses_asking_price_lag1,target_houses_asking_price_lag2,target_houses_asking_price_lag3,target_houses_transaction_price_lag1,target_houses_transaction_price_lag2,target_houses_transaction_price_lag3
124,1985-01-01,83.91257986236178,86.54476054772083,87.82903142722017,78.78349326270752,252995.0,252995.0,252995.0,11850.0,11831.0,12723.0,1.56771,1.35938,1.125,23262.75,22773.91667,22063.5,11955.0,5217.0,21097.0,23749.0,23749.0,23749.0,27320.0,27320.0,27320.0,273724.4893107712,263774.08887883276,254672.7108046785,2.94167,2.1,2.1,42478.5,39412.33333,35414.08333,31088.83333,30322.91667,29165.75,965.91667,831.91667,819.41667,14024.75,11339.83333,8191.33333,1669.16667,1418.5,1123.58333,16108.0,12903.0,15712.0,6441865.0,6418773.0,6391309.0,80.21127989612067,77.55089574113954,74.62977173810108,79.20105876652961,78.78035106046293,68.5925561974991,82.94216055208834,82.61854878094466,76.00578134339247,101.40053430545615,93.91861924458846,84.20068332611858,7826.08333,7549.0,7102.25,184690.81353,184690.81353,184690.81353,326452.29433,326452.29433,326452.29433,79.54162278440026,74.43078827897327,70.92685018755742,80.97221541627874,79.9431567599353,73.014161807223,83.74040803108427,79.30613684894655,76.12850594913493,73.6041214491855,68.66219858325184,63.796598850382814
125,1986-01-01,88.45578138362613,89.83859236272689,93.09401186699965,80.46745047106553,258263.25,252995.0,252995.0,14393.0,11850.0,11831.0,0.72396,1.56771,1.35938,23625.91667,23262.75,22773.91667,13837.0,11955.0,5217.0,22120.58333,23749.0,23749.0,28907.66667,27320.0,27320.0,286580.1679346077,276465.3177936934,267168.12967368215,3.43333,2.94167,2.1,48431.16667,42478.5,39412.33333,31716.08333,31088.83333,30322.91667,1043.33333,965.91667,831.91667,19590.16667,14024.75,11339.83333,1831.75,1669.16667,1418.5,15101.0,16108.0,12903.0,6470365.0,6441865.0,6418773.0,84.1045599283804,80.21127989612067,77.55089574113954,79.01786916192763,79.20105876652961,78.78035106046293,83.20665218222406,82.94216055208834,82.61854878094466,105.38863888724008,101.40053430545615,93.91861924458846,8090.16667,7826.08333,7549.0,184690.81353,184690.81353,184690.81353,326452.29433,326452.29433,326452.29433,83.91257986236178,79.54162278440026,74.43078827897327,86.54476054772083,80.97221541627874,79.9431567599353,87.82903142722017,83.74040803108427,79.30613684894655,78.78349326270752,73.6041214491855,68.66219858325184
126,1987-01-01,96.10660342522728,92.9139252758251,99.36901453189067,83.24760174684938,275248.08333,258263.25,252995.0,14416.0,14393.0,11850.0,1.08333,0.72396,1.56771,23951.41667,23625.91667,23262.75,22364.0,13837.0,11955.0,22393.5,22120.58333,23749.0,32005.0,28907.66667,27320.0,299435.8465584442,289156.54670855403,279663.5485426858,0.75,3.43333,2.94167,47527.5,48431.16667,42478.5,32248.25,31716.08333,31088.83333,961.5,1043.33333,965.91667,18224.66667,19590.16667,14024.75,1983.91667,1831.75,1669.16667,16215.0,15101.0,16108.0,6504124.0,6470365.0,6441865.0,86.14829104646995,84.1045599283804,80.21127989612067,78.99182117774996,79.01786916192763,79.20105876652961,95.45679553856252,83.20665218222406,82.94216055208834,107.49890792385462,105.38863888724008,101.40053430545615,8296.83333,8090.16667,7826.08333,198934.41002,184690.81353,184690.81353,346022.90337,326452.29433,326452.29433,88.45578138362613,83.91257986236178,79.54162278440026,89.83859236272689,86.54476054772083,80.97221541627874,93.09401186699965,87.82903142722017,83.74040803108427,80.46745047106553,78.78349326270752,73.6041214491855
127,1988-01-01,106.53214174259338,100.46040642223606,114.24955392081826,87.39532608173495,300854.75,275248.08333,258263.25,12370.0,14416.0,14393.0,1.64062,1.08333,0.72396,24784.83333,23951.41667,23625.91667,26392.0,22364.0,13837.0,22991.16667,22393.5,22120.58333,36555.08333,32005.0,28907.66667,312291.52518227696,301847.77562341094,292158.96741168573,1.45833,0.75,3.43333,45955.33333,47527.5,48431.16667,33432.08333,32248.25,31716.08333,958.66667,961.5,1043.33333,15600.5,18224.66667,19590.16667,2118.58333,1983.91667,1831.75,16994.0,16215.0,15101.0,6545106.0,6504124.0,6470365.0,91.855077123112,86.14829104646995,84.1045599283804,93.11317619830993,78.99182117774996,79.01786916192763,98.9773342171259,95.45679553856252,83.20665218222406,125.20274563576146,107.49890792385462,105.38863888724008,8647.25,8296.83333,8090.16667,220442.46006,198934.41002,184690.81353,375319.79601,346022.90337,326452.29433,96.10660342522728,88.45578138362613,83.91257986236178,92.9139252758251,89.83859236272689,86.54476054772083,99.36901453189067,93.09401186699965,87.82903142722017,83.24760174684938,80.46745047106553,78.78349326270752
128,1989-01-01,117.15313963850049,108.07143549151704,128.8240780651759,96.11880157258838,329694.66667,300854.75,275248.08333,11356.0,12370.0,14416.0,2.57292,1.64062,1.08333,25818.91667,24784.83333,23951.41667,33477.0,26392.0,22364.0,24141.08333,22991.16667,22393.5,41077.25,36555.08333,32005.0,325147.20380611345,314539.0045382716,304654.3862806894,1.88333,1.45833,0.75,43325.33333,45955.33333,47527.5,31485.83333,33432.08333,32248.25,135.41667,958.66667,961.5,14292.58333,15600.5,18224.66667,2317.66667,2118.58333,1983.91667,19697.0,16994.0,16215.0,6593386.0,6545106.0,6504124.0,102.30838358623846,91.855077123112,86.14829104646995,99.29921804787267,93.11317619830993,78.99182117774996,108.20556852452428,98.9773342171259,95.45679553856252,133.70832533680843,125.20274563576146,107.49890792385462,5666.91667,8647.25,8296.83333,247768.97916,220442.46006,198934.41002,417393.34659,375319.79601,346022.90337,106.53214174259338,96.10660342522728,88.45578138362613,100.46040642223606,92.9139252758251,89.83859236272689,114.24955392081826,99.36901453189067,93.09401186699965,87.39532608173495,83.24760174684938,80.46745047106553
129,1990-01-01,122.83717157788755,111.50895247303212,128.46662031962106,101.97757411195596,349184.08333,329694.66667,300854.75,10342.0,11356.0,12370.0,6.82812,2.57292,1.64062,26437.83333,25818.91667,24784.83333,33579.0,33477.0,26392.0,24686.16667,24141.08333,22991.16667,40503.25,41077.25,36555.08333,338002.8824299462,327230.2334531322,317149.80514969304,3.15,1.88333,1.45833,44510.08333,43325.33333,45955.33333,29925.08333,31485.83333,33432.08333,781.66667,135.41667,958.66667,17869.66667,14292.58333,15600.5,2503.0,2317.66667,2118.58333,20298.0,19697.0,16994.0,6646912.0,6593386.0,6545106.0,116.30808853723289,102.30838358623846,91.855077123112,104.78555641975701,99.29921804787267,93.11317619830993,117.45447262234782,108.20556852452428,98.9773342171259,141.6013466639265,133.70832533680843,125.20274563576146,3487.25,5666.91667,8647.25,282922.38214,247768.97916,220442.46006,476823.79185,417393.34659,375319.79601,117.15313963850049,106.53214174259338,96.10660342522728,108.07143549151704,100.46040642223606,92.9139252758251,128.8240780651759,114.24955392081826,99.36901453189067,96.11880157258838,87.39532608173495,83.24760174684938
130,1991-01-01,121.84542909791378,113.04117009808247,126.3454365806113,103.9867450382451,356082.75,349184.08333,329694.66667,8658.0,10342.0,11356.0,8.23958,6.82812,2.57292,25880.25,26437.83333,25818.91667,56643.0,33579.0,33477.0,24211.33333,24686.16667,24141.08333,37795.5,40503.25,41077.25,369392.22121,339921.4623679891,329645.2240186967,5.41667,3.15,1.88333,47016.41667,44510.08333,43325.33333,28898.33333,29925.08333,31485.83333,775.75,781.66667,135.41667,21603.41667,17869.66667,14292.58333,2709.58333,2503.0,2317.66667,20200.0,20298.0,19697.0,6715519.0,6646912.0,6593386.0,137.73712860820606,116.30808853723289,102.30838358623846,117.0467784749264,104.78555641975701,99.29921804787267,134.68370116289924,117.45447262234782,108.20556852452428,163.074885855949,141.6013466639265,133.70832533680843,3018.08333,3487.25,5666.91667,314683.63876,282922.38214,247768.97916,526293.82778,476823.79185,417393.34659,122.83717157788755,117.15313963850049,106.53214174259338,111.50895247303212,108.07143549151704,100.46040642223606,128.46662031962106,128.8240780651759,114.24955392081826,101.97757411195596,96.11880157258838,87.39532608173495
131,1992-01-01,116.64363968792016,113.57734244640547,120.78477163249595,102.93881601734874,365565.33333,356082.75,349184.08333,8757.0,8658.0,10342.0,7.70833,8.23958,6.82812,26441.5,25880.25,26437.83333,61440.0,56643.0,33579.0,24852.0,24211.33333,24686.16667,39057.16667,37795.5,40503.25,385747.93824,369392.22121,342140.64288770035,5.875,5.41667,3.15,45776.0,47016.41667,44510.08333,29273.58333,28898.33333,29925.08333,605.66667,775.75,781.66667,19937.16667,21603.41667,17869.66667,2829.08333,2709.58333,2503.0,23566.0,20200.0,20298.0,6799978.0,6715519.0,6646912.0,155.3151217028947,137.73712860820606,116.30808853723289,127.25482508209835,117.0467784749264,104.78555641975701,136.1126778897326,134.68370116289924,117.45447262234782,142.79582820722746,163.074885855949,141.6013466639265,2832.08333,3018.08333,3487.25,334824.86181,314683.63876,282922.38214,561927.8289,526293.82778,476823.79185,121.84542909791378,122.83717157788755,117.15313963850049,113.04117009808247,111.50895247303212,108.07143549151704,126.3454365806113,128.46662031962106,128.8240780651759,103.9867450382451,101.97757411195596,96.11880157258838
132,1993-01-01,111.8897697069962,112.63156784773481,114.53812637446335,101.4642865087006,373230.16667,365565.33333,356082.75,11208.0,8757.0,8658.0,7.69792,7.70833,8.23958,26466.75,26441.5,25880.25,40156.0,61440.0,56643.0,24938.75,24852.0,24211.33333,41385.25,39057.16667,37795.5,393408.66854,385747.93824,369392.22121,4.05833,5.875,5.41667,50008.58333,45776.0,47016.41667,29019.75,29273.58333,28898.33333,689.75,605.66667,775.75,24593.33333,19937.16667,21603.41667,2914.75,2829.08333,2709.58333,24608.0,23566.0,20200.0,6875364.0,6799978.0,6715519.0,157.06972104657518,155.3151217028947,137.73712860820606,121.06812457342629,127.25482508209835,117.0467784749264,123.56631100281234,136.1126778897326,134.68370116289924,141.85566305992398,142.79582820722746,163.074885855949,2553.0,2832.08333,3018.08333,350638.96122,334824.86181,314683.63876,582180.04327,561927.8289,526293.82778,116.64363968792016,121.84542909791378,122.83717157788755,113.57734244640547,113.04117009808247,111.50895247303212,120.78477163249595,126.3454365806113,128.46662031962106,102.93881601734874,103.9867450382451,101.97757411195596
133,1994-01-01,111.52506561540223,111.75270355610023,114.44994831681802,101.10786924224676,387923.25,373230.16667,365565.33333,12928.0,11208.0,8757.0,4.97917,7.69792,7.70833,26871.41667,26466.75,26441.5,39512.0,40156.0,61440.0,25348.0,24938.75,24852.0,46615.58333,41385.25,39057.16667,401920.59908,393408.66854,385747.93824,3.29167,4.05833,5.875,56613.41667,50008.58333,45776.0,29525.08333,29019.75,29273.58333,1176.5,689.75,605.66667,31251.33333,24593.33333,19937.16667,2986.5,2914.75,2829.08333,21250.0,24608.0,23566.0,6938265.0,6875364.0,6799978.0,142.9875679064724,157.06972104657518,155.3151217028947,115.32444389436552,121.06812457342629,127.25482508209835,114.96135023275889,123.56631100281234,136.1126778897326,122.41734172327784,141.85566305992398,142.79582820722746,2653.66667,2553.0,2832.08333,362704.87351,350638.96122,334824.86181,595409.07569,582180.04327,561927.8289,111.8897697069962,116.64363968792016,121.84542909791378,112.63156784773481,113.57734244640547,113.04117009808247,114.53812637446335,120.78477163249595,126.3454365806113,101.4642865087006,102.93881601734874,103.9867450382451
